,count,percentage,lower_bound,upper_bound
hip_width,145.0,7.842076798269335,0.4821592203797927,0.7457895165137993
shoulder_width,136.0,7.355327203893997,1.0,1.0
left_ankle_x,130.0,7.030827474310438,-0.6037839328218426,0.19915847054031338
right_shoulder_z,123.0,6.652244456462952,-1.550056829289928,0.357838106254953
nose_x,119.0,6.435911303407248,-0.32097790031676693,0.31060717662371984
right_hip_visibility,116.0,6.273661438615467,0.9404145181179049,1.0307844579219816
left_wrist_y,115.0,6.219578150351541,-0.4959139527627622,0.41986456620023216
body_center_x,115.0,6.219578150351541,-0.06793235673058179,0.0704647107473198
right_wrist_y,97.0,5.246078961600865,-0.462573865194034,0.3723059655751324
body_center_z,26.0,1.4061654948620876,-0.8450056920662683,0.36913925961639715
left_elbow_angle,26.0,1.4061654948620876,104.8058323712965,173.65778870234618
left_knee_angle,17.0,0.9194159004867496,45.07836794425192,202.13057822799237
knee_angle_diff,16.0,0.8653326122228232,-8.302288380072156,36.33394585327059
right_elbow_angle,16.0,0.8653326122228232,111.07716049271643,181.73784739061875
left_ankle_visibility,14.0,0.7571660356949702,-0.11656265053898088,0.2693665539845823
right_hip_angle,13.0,0.7030827474310438,68.01406568210241,232.40960879252117
left_shoulder_z,13.0,0.7030827474310438,-1.9381325309108672,1.1765655196815663
left_hip_y,10.0,0.5408328826392644,-0.04928133055785625,0.07365308582291616
right_hip_y,10.0,0.5408328826392644,-0.07365308582291616,0.04928133055785625
avg_knee_angle,8.0,0.4326663061114116,44.91753719631661,214.03428796376969
right_knee_angle,6.0,0.32449972958355866,40.742951008304004,225.49360308864576
left_knee_y,6.0,0.32449972958355866,-3.516008162331968,1.1224212695542923
right_knee_y,6.0,0.32449972958355866,-3.577379914217225,1.1153819393345332
left_wrist_x,5.0,0.2704164413196322,-1.3371159710718887,0.5672104870723282
right_hip_z,5.0,0.2704164413196322,-0.4524594689535948,0.45127567370303634
left_hip_z,5.0,0.2704164413196322,-0.45127567370303634,0.4524594689535948
right_ankle_y,5.0,0.2704164413196322,-6.520096589661185,1.6385724092967748
left_wrist_z,4.0,0.2163331530557058,-3.116252440851335,1.7522252380152883
left_ankle_y,3.0,0.16224986479177933,-6.5508640413323285,1.7884766212938756
body_center_y,2.0,0.1081665765278529,-0.5276934355363905,2.453591963522192
left_ankle_z,2.0,0.1081665765278529,-1.3052160907309625,3.7172752512611917
right_wrist_z,2.0,0.1081665765278529,-3.039289292885069,1.217174547191508
nose_y,2.0,0.1081665765278529,-1.882706448486686,7.173583519771544
left_shoulder_y,2.0,0.1081665765278529,-1.1001100822044731,4.949773507032733
right_shoulder_y,2.0,0.1081665765278529,-1.0408352515961585,4.8994260912023435
right_ankle_x,1.0,0.05408328826392645,-0.4774625323665779,0.8143175935339682
right_ankle_z,1.0,0.05408328826392645,-1.8892366045422744,3.9160578917008033
left_knee_visibility,0.0,0.0,-0.18087400496006012,1.021482452750206
right_knee_x,0.0,0.0,-0.6317183866906066,0.9727779558555671
right_knee_visibility,0.0,0.0,-0.39384233206510544,1.255260057747364
right_hip_x,0.0,0.0,-0.38767092777387235,0.7244995475496432
right_ankle_visibility,0.0,0.0,-0.24938010051846496,0.49147383496165253
left_hip_x,0.0,0.0,-0.7244995475496432,0.38767092777387235
left_wrist_visibility,0.0,0.0,-0.1490239202976229,1.6743353307247166
right_shoulder_x,0.0,0.0,-0.7002147777164813,1.2024558387377162
right_wrist_x,0.0,0.0,-1.245460419232433,1.7697300024770946
shoulder_angle,0.0,0.0,0.0,0.0
left_shoulder_x,0.0,0.0,-1.1910368563180196,0.6647118747103341
nose_z,0.0,0.0,-4.960338729348889,2.6135324418936423
torso_lean_angle,0.0,0.0,0.0,0.0
