,f_statistic,p_value,significant
left_hip_acceleration_total,24.86208663330873,2.6736909620922886e-24,True
left_elbow_angle,20.648330643974628,4.0766200720226187e-20,True
nose_acceleration_total,20.434054878579,6.821435677289173e-20,True
left_hip_velocity_total,19.705371803431603,3.606505520270766e-19,True
right_hip_velocity_total,19.705371803431603,3.606505520270766e-19,True
right_knee_acceleration_total,19.51865150639595,5.598953598479311e-19,True
nose_velocity_total,18.27476355500669,9.726654155560238e-18,True
left_knee_acceleration_total,15.172458439694898,1.2544805607613813e-14,True
right_knee_velocity_total,13.629359746244962,4.389237164577153e-13,True
body_center_x,13.378781379833592,7.788267853208566e-13,True
left_knee_velocity_total,12.814284302771604,2.8765315511400437e-12,True
knee_angle_diff,12.37786590833345,7.835840223692626e-12,True
shoulder_width,1.8785000694975087,0.09496499967894476,False
nose_velocity_x,0.5350854131115476,0.7498379222992733,False
right_knee_velocity_x,0.5113633351373488,0.7678682654486065,False
left_knee_velocity_z,0.4434284750078297,0.8182873202743968,False
right_knee_acceleration_y,0.36450223467916404,0.8730404090874204,False
left_knee_acceleration_y,0.3311423879398264,0.8943553790530394,False
right_knee_velocity_y,0.2781881941836449,0.9252350625116541,False
left_knee_velocity_y,0.2576728423544967,0.9360628453546069,False
right_hip_acceleration_x,0.24984518781495632,0.9400085469316914,False
left_hip_acceleration_x,0.24984518781495632,0.9400085469316914,False
right_knee_velocity_z,0.23029904063805418,0.9493914472358848,False
right_hip_velocity_y,0.2290665531837337,0.9499597772767403,False
left_hip_velocity_y,0.2290665531837337,0.9499597772767403,False
left_hip_velocity_x,0.2097238117121095,0.958502451321192,False
right_hip_velocity_x,0.2097238117121095,0.958502451321192,False
left_hip_velocity_z,0.18386332773825845,0.9687687262880403,False
right_hip_velocity_z,0.18386332773825845,0.9687687262880403,False
right_knee_acceleration_x,0.16665622263952762,0.9748289513299372,False
nose_acceleration_x,0.16103646185476533,0.9766702914681982,False
left_knee_acceleration_z,0.13764795724735687,0.9835842274870207,False
left_knee_angle_velocity,0.1343543437577991,0.9844595219567028,False
left_hip_acceleration_z,0.11825973558135303,0.9883804819514979,False
right_hip_acceleration_z,0.11825973558135303,0.9883804819514979,False
nose_velocity_z,0.09669638588903692,0.9927039492049725,False
nose_velocity_y,0.09433975880765108,0.993111842994924,False
right_knee_angle_velocity,0.06722961040967322,0.9969020749766702,False
left_knee_velocity_x,0.032969338327704135,0.9994455402155216,False
nose_acceleration_y,0.030921345511020746,0.999525941334648,False
right_knee_acceleration_z,0.029552432348163814,0.9995756457590699,False
nose_acceleration_z,0.012736296658377692,0.9999466805150931,False
left_hip_acceleration_y,0.010816215747911985,0.9999644404117212,False
right_hip_acceleration_y,0.010816215747911985,0.9999644404117212,False
left_knee_acceleration_x,0.0013902182361609356,0.9999997858101516,False
torso_lean_angle,,,False
shoulder_angle,,,False
